id;groupname;group_owner_id;category;status;description;created_date
1;Tunisian payment;South;explicit white;true;info-mediaries matrix disintermediate;2023-04-11
2;Exclusive Industrial;calculating Associate payment;Chicken;true;feed didactic;2023-04-12
3;deposit;invoice;Steel;true;Cotton protocol Tuna;2023-04-11
4;back-end e-services Practical;Intelligent;invoice;true;Steel Intranet;2023-04-11
5;impactful sexy Concrete;deposit Iranian;SDD Arkansas;true;global Dynamic deposit;2023-04-12
6;Dynamic;invoice compelling Metal;bypassing;false;withdrawal Bedfordshire Direct;2023-04-11
7;client-driven Dong Ergonomic;Leone;drive Carolina Plastic;false;Loan rich programming;2023-04-11
8;program customized Multi-tiered;mindshare deposit Armenia;Argentine Electronics;false;Officer;2023-04-12
9;withdrawal Health sensor;Coordinator Bedfordshire;Concrete;false;Bacon bricks-and-clicks;2023-04-12
10;Customer Illinois Berkshire;of;intuitive;true;Camp Liberia Steel;2023-04-11
